id app type limit status errors
manfb freemarker boot 128 running 0
manfbm freemarker boot 128 running 0
manfs freemarker shaded 128 running 0
manfbi freemarker boot 128 starting 0
manfsi freemarker shaded 128 running 0
manmb micro boot 128 running 0
manmbm micro boot 128 running 0
manms micro shaded 128 running 0
defmbm16 micro boot 128 running 0
defmbm10 micro boot 128 running 0
defmbm8 micro boot 64 crashed 0
defmbm8 micro boot 96 running 0
deffbm16 freemarker boot 128 running 0
deffbm8 freemarker boot 128 crashed 0
deffbm12 freemarker boot 128 crashed 0
ssmb128 micro boot 128 running 0
ssmb256 micro boot 256 running 0
ssmb512 micro boot 512 running 0
ssmb1024 micro boot 1024 running 0
ssmbm128 micro boot 128 running 0
ssmbm256 micro boot 256 running 0
ssmbm512 micro boot 512 running 0
ssmbm1024 micro boot 1024 running 0
ssfb128 freemarker boot 128 running 0
ssfb256 freemarker boot 256 running 0
ssfb512 freemarker boot 512 running 0
ssfb1024 freemarker boot 1024 running 0
ssfbm128 freemarker boot 128 running 0
ssfbm256 freemarker boot 256 running 0
ssfbm512 freemarker boot 512 running 0
ssfbm1024 freemarker boot 1024 running 0
ssfs128 freemarker shaded 128 running 0
ssfs256 freemarker shaded 256 running 0
ssfs512 freemarker shaded 512 running 0
ssfs1024 freemarker shaded 1024 running 0
sszb128 zuul boot 128 starting 0
sszb256 zuul boot 256 running 0
sszb512 zuul boot 512 running 0
sszb1024 zuul boot 1024 running 0
sszs128 zuul shaded 128 starting 0
sszs256 zuul shaded 256 running 0
sszs512 zuul shaded 512 running 0
sszs1024 zuul shaded 1024 running 0
ssrb128 ratpack boot 128 running 0
ssrb256 ratpack boot 256 running 0
ssrbm128 ratpack boot 128 running 0
ssrbm256 ratpack boot 256 running 0
ssrs128 ratpack shaded 128 running 0
ssrs256 ratpack shaded 256 running 0
szb256 zuul boot 256 running 0
szb512 zuul boot 512 running 0
szb1024 zuul boot 1024 running 0
szs256 zuul shaded 256 running 0
szs1024 zuul shaded 1024 running 0
